
                                      CodeAnalysis - Version 1.4
    ==============================================================================================
     Fri May  5 23:03:43 2017
     Path: "C:\Users\Joy Shalom\Desktop\Actual JF Project 2\RemoteCodePublisher_Spring2017P4_699737418 - Using WPF"
     Args: *.h, *.cpp, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
                Logger.cpp    function                            running      71       3       1
                Logger.cpp    function                              pause      77      12       3
                Logger.cpp    function                             paused      92       3       1
                Logger.cpp    function                              flush      98       9       2
                Logger.cpp    function                               stop     110      12       2
                Logger.cpp    function                               wait     125       4       1
                Logger.cpp    function                            ~Logger     132       3       1
                Logger.cpp    function                              write      25       4       1
                Logger.cpp    function                              title      30       4       1
                Logger.cpp    function                             attach      37       4       1
                Logger.cpp    function                              start      46      22       5
                Logger.cpp    function                               void      50      14       4
                Logger.cpp    function                            running      71       3       1
                Logger.cpp    function                              pause      77      12       3
                Logger.cpp    function                             paused      92       3       1
                Logger.cpp    function                              flush      98       9       2
                Logger.cpp    function                               stop     110      12       2
                Logger.cpp    function                               wait     125       4       1
                Logger.cpp    function                            ~Logger     132       3       1
                Logger.cpp      struct                           Cosmetic     137       3       2
                Logger.cpp    function                          ~Cosmetic     137       2       1
                Logger.cpp    function                               main     146      45       1
                Logger.cpp      struct                           Cosmetic     137       3       2
                Logger.cpp    function                          ~Cosmetic     137       2       1
                Logger.cpp    function                               main     146      45       1
                Logger.cpp      struct                           Cosmetic     137       3       2
                Logger.cpp    function                          ~Cosmetic     137       2       1
                Logger.cpp    function                               main     146      45       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
             MockChannel.h      struct                             ISendr      53       3       1
             MockChannel.h      struct                             IRecvr      58       3       1
             MockChannel.h      struct                       IMockChannel      63       5       1
             MockChannel.h      struct                      ObjectFactory      71       5       4

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
           MockChannel.cpp    function                        createSendr     141       2       1
           MockChannel.cpp    function                        createRecvr     143       2       1
           MockChannel.cpp    function                  createMockChannel     147       3       1
           MockChannel.cpp       class                              Sendr      44       7       3
           MockChannel.cpp    function                        postMessage      53       3       1
           MockChannel.cpp    function                              queue      56       2       1
           MockChannel.cpp       class                              Recvr      64       7       3
           MockChannel.cpp    function                         getMessage      73       3       1
           MockChannel.cpp    function                              queue      78       3       1
           MockChannel.cpp       class                        MockChannel      86      12       7
              public data: std :: vector < std :: string > tempv ; 
           MockChannel.cpp    function                        MockChannel     100       2       1
           MockChannel.cpp    function                              start     106      30       4
           MockChannel.cpp    function                             thread     109      25       3
           MockChannel.cpp    function                               stop     137       2       1
           MockChannel.cpp    function                               main     165      19       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
             MsgClient.cpp       class                      ClientCounter      63       7       3
             MsgClient.cpp    function                      ClientCounter      64       2       1
             MsgClient.cpp    function                              count      65       2       1
             MsgClient.cpp       class                          MsgClient      79       9      14
             MsgClient.cpp    function                        makeMessage      97      27       3
             MsgClient.cpp    function                        sendMessage     127       4       1
             MsgClient.cpp    function                           sendFile     139      32       2
             MsgClient.cpp    function                            execute     174      48       7
             MsgClient.cpp    function                               main     225      16       3
             MsgClient.cpp    function                                 t1     231       1       1
             MsgClient.cpp    function                                 t2     236       1       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
             MsgServer.cpp       class                      ClientHandler      86      11      20
             MsgServer.cpp    function                      ClientHandler      87       2       1
             MsgServer.cpp    function                        readMessage     100      51       9
             MsgServer.cpp    function                           readFile     158      58       6
             MsgServer.cpp    function                         operator()     219      12       3
             MsgServer.cpp    function                               main     235      32       4

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               Publisher.h       class                          Publisher      60      11       2
              public data: std :: ofstream IndexFile ; 
               Publisher.h       class                          Publisher      61      11       2
              public data: std :: ofstream IndexFile ; 
               Publisher.h       class                          Publisher      60      11      44
              public data: std :: ofstream IndexFile ; 

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
             Publisher.cpp    function               findFilesConvertHTML      31       7       3
             Publisher.cpp    function                      convertToHTML      41      46       9
             Publisher.cpp    function                         HTMLDesign      91      12       1
             Publisher.cpp    function            toDemonstrateWithinHTML     105      29       1
             Publisher.cpp    function               findFilesConvertHTML      31       7       3
             Publisher.cpp    function                      convertToHTML      41      46       9
             Publisher.cpp    function                         HTMLDesign      91      12       1
             Publisher.cpp    function            toDemonstrateWithinHTML     105      29       1
             Publisher.cpp    function               findFilesConvertHTML      31       7       3
             Publisher.cpp    function                      convertToHTML      41      46       9
             Publisher.cpp    function                         HTMLDesign      91      12       1
             Publisher.cpp    function            toDemonstrateWithinHTML     105      29       1
             Publisher.cpp    function                               main     139      24       3
             Publisher.cpp    function                               main     139      24       3
             Publisher.cpp    function                               main     139      24       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                 Sockets.h       class                       SocketSystem     138       8       1
                 Sockets.h       class                             Socket     153      39       4
                 Sockets.h    function                   operator::SOCKET     164       2       1
                 Sockets.h    function                         validState     182       2       1
                 Sockets.h       class                    SocketConnecter     198      12       1
                 Sockets.h       class                     SocketListener     217      21       7
                 Sockets.h    function                              start     248      44       6
                 Sockets.h    function                       ListenThread     262      26       3
                 Sockets.h       class                       SocketSystem     139       8       1
                 Sockets.h       class                             Socket     154      39       4
                 Sockets.h    function                   operator::SOCKET     165       2       1
                 Sockets.h    function                         validState     183       2       1
                 Sockets.h       class                    SocketConnecter     199      12       1
                 Sockets.h       class                     SocketListener     218      21       7
                 Sockets.h    function                              start     249      44       6
                 Sockets.h    function                       ListenThread     263      26       3
                 Sockets.h       class                       SocketSystem     138       8      10
                 Sockets.h       class                             Socket     153      39      73
                 Sockets.h    function                   operator::SOCKET     164       2       1
                 Sockets.h    function                         validState     182       2       1
                 Sockets.h       class                    SocketConnecter     198      12      37
                 Sockets.h       class                     SocketListener     217      21      52
                 Sockets.h    function                              start     248      44       6
                 Sockets.h    function                       ListenThread     262      26       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               Sockets.cpp    function                       SocketSystem      34       6       2
               Sockets.cpp    function                      ~SocketSystem      43       4       1
               Sockets.cpp    function                       SocketSystem      35       6       2
               Sockets.cpp    function                      ~SocketSystem      44       4       1
               Sockets.cpp    function                       SocketSystem      34       6       2
               Sockets.cpp    function                      ~SocketSystem      43       4       1
               Sockets.cpp    function                             Socket      54       6       1
               Sockets.cpp    function                             Socket      66       7       1
               Sockets.cpp    function                             Socket      76       9       1
               Sockets.cpp    function                          operator=      88      10       1
               Sockets.cpp    function                              ipVer     105       3       1
               Sockets.cpp    function                              close     111       4       1
               Sockets.cpp    function                       shutDownSend     118       6       1
               Sockets.cpp    function                       shutDownRecv     128       6       1
               Sockets.cpp    function                           shutDown     137       7       1
               Sockets.cpp    function                            ~Socket     146       4       1
               Sockets.cpp    function                               send     156      13       2
               Sockets.cpp    function                               recv     175      13       2
               Sockets.cpp    function                         sendString     194      14       2
               Sockets.cpp    function                         recvString     219      15       2
               Sockets.cpp    function                         sendStream     239       3       1
               Sockets.cpp    function                         recvStream     247       3       1
               Sockets.cpp    function                       bytesWaiting     253       5       1
               Sockets.cpp    function                        waitForData     261      12       2
               Sockets.cpp    function                             Socket      55       6       1
               Sockets.cpp    function                             Socket      67       7       1
               Sockets.cpp    function                             Socket      77       9       1
               Sockets.cpp    function                          operator=      89      10       1
               Sockets.cpp    function                              ipVer     106       3       1
               Sockets.cpp    function                              close     112       4       1
               Sockets.cpp    function                       shutDownSend     119       6       1
               Sockets.cpp    function                       shutDownRecv     129       6       1
               Sockets.cpp    function                           shutDown     138       7       1
               Sockets.cpp    function                            ~Socket     147       4       1
               Sockets.cpp    function                               send     157      13       2
               Sockets.cpp    function                               recv     176      13       2
               Sockets.cpp    function                         sendString     195      14       2
               Sockets.cpp    function                         recvString     220      15       2
               Sockets.cpp    function                         sendStream     240       3       1
               Sockets.cpp    function                         recvStream     248       3       1
               Sockets.cpp    function                       bytesWaiting     254       5       1
               Sockets.cpp    function                        waitForData     262      12       2
               Sockets.cpp    function                             Socket      54       6       1
               Sockets.cpp    function                             Socket      66       7       1
               Sockets.cpp    function                             Socket      76       9       1
               Sockets.cpp    function                          operator=      88      10       1
               Sockets.cpp    function                              ipVer     105       3       1
               Sockets.cpp    function                              close     111       4       1
               Sockets.cpp    function                       shutDownSend     118       6       1
               Sockets.cpp    function                       shutDownRecv     128       6       1
               Sockets.cpp    function                           shutDown     137       7       1
               Sockets.cpp    function                            ~Socket     146       4       1
               Sockets.cpp    function                               send     156      13       2
               Sockets.cpp    function                               recv     175      13       2
               Sockets.cpp    function                         sendString     194      14       2
               Sockets.cpp    function                         recvString     219      15       2
               Sockets.cpp    function                         sendStream     239       3       1
               Sockets.cpp    function                         recvStream     247       3       1
               Sockets.cpp    function                       bytesWaiting     253       5       1
               Sockets.cpp    function                        waitForData     261      12       2
               Sockets.cpp    function                    SocketConnecter     279       3       1
               Sockets.cpp    function                    SocketConnecter     285       8       1
               Sockets.cpp    function                          operator=     296      10       1
               Sockets.cpp    function                   ~SocketConnecter     309       3       1
               Sockets.cpp    function                            connect     315      63       8
               Sockets.cpp    function                    SocketConnecter     280       3       1
               Sockets.cpp    function                    SocketConnecter     286       8       1
               Sockets.cpp    function                          operator=     297      10       1
               Sockets.cpp    function                   ~SocketConnecter     310       3       1
               Sockets.cpp    function                            connect     316      63       8
               Sockets.cpp    function                    SocketConnecter     279       3       1
               Sockets.cpp    function                    SocketConnecter     285       8       1
               Sockets.cpp    function                          operator=     296      10       1
               Sockets.cpp    function                   ~SocketConnecter     309       3       1
               Sockets.cpp    function                            connect     315      63       8
               Sockets.cpp    function                     SocketListener     384      11       1
               Sockets.cpp    function                     SocketListener     398       9       1
               Sockets.cpp    function                          operator=     410      11       1
               Sockets.cpp    function                    ~SocketListener     424       3       1
               Sockets.cpp    function                               bind     430      42       6
               Sockets.cpp    function                             listen     475      11       2
               Sockets.cpp    function                             accept     489      14       2
               Sockets.cpp    function                               stop     506       4       1
               Sockets.cpp    function                     SocketListener     385      11       1
               Sockets.cpp    function                     SocketListener     399       9       1
               Sockets.cpp    function                          operator=     411      11       1
               Sockets.cpp    function                    ~SocketListener     425       3       1
               Sockets.cpp    function                               bind     431      42       6
               Sockets.cpp    function                             listen     476      11       2
               Sockets.cpp    function                             accept     490      14       2
               Sockets.cpp    function                               stop     507       4       1
               Sockets.cpp    function                     SocketListener     384      11       1
               Sockets.cpp    function                     SocketListener     398       9       1
               Sockets.cpp    function                          operator=     410      11       1
               Sockets.cpp    function                    ~SocketListener     424       3       1
               Sockets.cpp    function                               bind     430      42       6
               Sockets.cpp    function                             listen     475      11       2
               Sockets.cpp    function                             accept     489      14       2
               Sockets.cpp    function                               stop     506       4       1
               Sockets.cpp       class                      ClientHandler     522       6      19
               Sockets.cpp    function                         operator()     538      46       6
               Sockets.cpp    function                 testStringHandling     590      33       6
               Sockets.cpp    function                 testBufferHandling     629      39       6
               Sockets.cpp    function                        clearBuffer     532       4       1
               Sockets.cpp    function           clientTestStringHandling     672      31       5
               Sockets.cpp    function           clientTestBufferHandling     706      57       8
               Sockets.cpp    function                               main     766      35       4
               Sockets.cpp       class                      ClientHandler     523       6      19
               Sockets.cpp    function                         operator()     539      46       6
               Sockets.cpp    function                 testStringHandling     591      33       6
               Sockets.cpp    function                 testBufferHandling     630      39       6
               Sockets.cpp    function                        clearBuffer     533       4       1
               Sockets.cpp    function           clientTestStringHandling     673      31       5
               Sockets.cpp    function           clientTestBufferHandling     707      57       8
               Sockets.cpp    function                               main     767      35       4
               Sockets.cpp       class                      ClientHandler     522       6      19
               Sockets.cpp    function                         operator()     538      46       6
               Sockets.cpp    function                 testStringHandling     590      33       6
               Sockets.cpp    function                 testBufferHandling     629      39       6
               Sockets.cpp    function                        clearBuffer     532       4       1
               Sockets.cpp    function           clientTestStringHandling     672      31       5
               Sockets.cpp    function           clientTestBufferHandling     706      57       8
               Sockets.cpp    function                               main     766      35       4

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                TestExec.h       class                           TestExec      49       4       2

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
              TestExec.cpp    function                           Teststub      30      28       1
              TestExec.cpp    function                               main      64      35       3

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
       TestMockChannel.cpp    function                               main      10      18       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               Utilities.h   namespace                          Utilities      55      72       7
               Utilities.h       class                               test      57       4       1
              public data: std :: vector < std :: string > publicVector ; 
               Utilities.h       class                       StringHelper      63      17       1
               Utilities.h    function                    DisplayLocation      92       9       1
               Utilities.h       class                          Converter     104       5       3
               Utilities.h    function                           toString     112       5       1
               Utilities.h    function                            toValue     120       6       1
               Utilities.h   namespace                          Utilities      55      72       7
               Utilities.h       class                               test      57       4       1
              public data: std :: vector < std :: string > publicVector ; 
               Utilities.h       class                       StringHelper      63      17       1
               Utilities.h    function                    DisplayLocation      92       9       1
               Utilities.h       class                          Converter     104       5       3
               Utilities.h    function                           toString     112       5       1
               Utilities.h    function                            toValue     120       6       1
               Utilities.h   namespace                          Utilities      55      72      49
               Utilities.h       class                               test      57       4       1
              public data: std :: vector < std :: string > publicVector ; 
               Utilities.h       class                       StringHelper      63      17      43
               Utilities.h    function                    DisplayLocation      92       9       1
               Utilities.h       class                          Converter     104       5       3
               Utilities.h    function                           toString     112       5       1
               Utilities.h    function                            toValue     120       6       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
             Utilities.cpp    function                              Title      28       4       1
             Utilities.cpp    function                              Title      34       5       1
             Utilities.cpp    function                              title      41       4       1
             Utilities.cpp    function                              title      47       5       1
             Utilities.cpp    function                             sTitle      54       7       1
             Utilities.cpp    function                             sTitle      63       8       1
             Utilities.cpp    function                              split      73      23       4
             Utilities.cpp    function                               trim     101      22       3
             Utilities.cpp    function            addHeaderAndFooterLines     127       4       1
             Utilities.cpp    function                              Title      28       4       1
             Utilities.cpp    function                              Title      34       5       1
             Utilities.cpp    function                              title      41       4       1
             Utilities.cpp    function                              title      47       5       1
             Utilities.cpp    function                             sTitle      54       7       1
             Utilities.cpp    function                             sTitle      63       8       1
             Utilities.cpp    function                              split      73      23       4
             Utilities.cpp    function                               trim     101      22       3
             Utilities.cpp    function            addHeaderAndFooterLines     127       4       1
             Utilities.cpp    function                              Title      28       4       1
             Utilities.cpp    function                              Title      34       5       1
             Utilities.cpp    function                              title      41       4       1
             Utilities.cpp    function                              title      47       5       1
             Utilities.cpp    function                             sTitle      54       7       1
             Utilities.cpp    function                             sTitle      63       8       1
             Utilities.cpp    function                              split      73      23       4
             Utilities.cpp    function                               trim     101      22       3
             Utilities.cpp    function            addHeaderAndFooterLines     127       4       1
             Utilities.cpp    function                 ToDecAddressString     134       5       1
             Utilities.cpp    function                 ToHexAddressString     142       5       1
             Utilities.cpp    function                            putline     149       3       1
             Utilities.cpp    function                               main     159      41       2
             Utilities.cpp    function                 ToDecAddressString     134       5       1
             Utilities.cpp    function                 ToHexAddressString     142       5       1
             Utilities.cpp    function                            putline     149       3       1
             Utilities.cpp    function                               main     159      41       2
             Utilities.cpp    function                 ToDecAddressString     134       5       1
             Utilities.cpp    function                 ToHexAddressString     142       5       1
             Utilities.cpp    function                            putline     149       3       1
             Utilities.cpp    function                               main     159      41       2

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                  Window.h   namespace                      CppCliWindows      94      91      29
                  Window.h       class                      WPFCppCliDemo      96      88      28

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                Window.cpp    function                      WPFCppCliDemo      30      48       1
                Window.cpp    function                     ~WPFCppCliDemo      80       5       1
                Window.cpp    function                     setUpStatusBar      87       7       1
                Window.cpp    function                    setUpTabControl      96       9       1
                Window.cpp    function             setTextBlockProperties     107      17       1
                Window.cpp    function               setButtonsProperties     126      68       1
                Window.cpp    function               setUpSendMessageView     196       8       1
                Window.cpp    function                       upload_files     206      18       2
                Window.cpp    function                        toStdString     226       6       1
                Window.cpp    function                        sendMessage     234       5       1
                Window.cpp    function                     toSystemString     241       6       1
                Window.cpp    function                            addText     249       3       1
                Window.cpp    function                         getMessage     254      15       2
                Window.cpp    function                              clear     271       5       1
                Window.cpp    function                   getItemsFromList     279      22       5
                Window.cpp    function                               each     286       3       1
                Window.cpp    function                               each     295       4       1
                Window.cpp    function                  setUpFileListView     305      86       1
                Window.cpp    function                    browseForFolder     393      17       2
                Window.cpp    function                setUpConnectionView     411       3       1
                Window.cpp    function                           OnLoaded     416       3       1
                Window.cpp    function                          Unloading     420       3       1
                Window.cpp    function                               main     427       6       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
          WindowsHelpers.h   namespace                     WindowsHelpers      42       5       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
        WindowsHelpers.cpp    function                    wstringToString      26       7       1
        WindowsHelpers.cpp    function                 stringToWideString      35       7       1
        WindowsHelpers.cpp    function                         GetLastMsg      45      32       1
        WindowsHelpers.cpp    function                               main      81       3       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
               msgclient.h       class                      ClientCounter      19       7       3
               msgclient.h    function                      ClientCounter      20       2       1
               msgclient.h    function                              count      21       2       1
               msgclient.h       class                          MsgClient      35       9       1

                          Functions Exceeding Metric Limits and Public Data
    ==============================================================================================
                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
   Cpp11-BlockingQueue.cpp    function                               main      45      52       3
   Cpp11-BlockingQueue.cpp    function                               main      37      52       3
   Cpp11-BlockingQueue.cpp    function                               main      45      52       3
   Cpp11-BlockingQueue.cpp    function                               main      45      52       3
            FileSystem.cpp    function                               main     669     297      15
            FileSystem.cpp    function                               main     739     297      15
            FileSystem.cpp    function                               main     669     297      15
            FileSystem.cpp    function                               main     669     297      15
           HttpMessage.cpp    function                               main     260      67       4
             MsgServer.cpp    function                        readMessage     100      51       9
             MsgServer.cpp    function                           readFile     158      58       6
               Sockets.cpp    function                            connect     315      63       8
               Sockets.cpp    function                            connect     316      63       8
               Sockets.cpp    function                            connect     315      63       8
               Sockets.cpp    function           clientTestBufferHandling     706      57       8
               Sockets.cpp    function           clientTestBufferHandling     707      57       8
               Sockets.cpp    function           clientTestBufferHandling     706      57       8
                Window.cpp    function               setButtonsProperties     126      68       1
                Window.cpp    function                  setUpFileListView     305      86       1

              public data: MockChannel.cpp : 91 - class MockChannel
                std :: vector < std :: string > tempv ; 
              public data: Publisher.h : 62 - class Publisher
                std :: ofstream IndexFile ; 
              public data: Publisher.h : 63 - class Publisher
                std :: ofstream IndexFile ; 
              public data: Publisher.h : 62 - class Publisher
                std :: ofstream IndexFile ; 
              public data: Utilities.h : 59 - class test
                std :: vector < std :: string > publicVector ; 
              public data: Utilities.h : 59 - class test
                std :: vector < std :: string > publicVector ; 
              public data: Utilities.h : 59 - class test
                std :: vector < std :: string > publicVector ; 


    searched   105 dirs
   processed    70 files
